category,description,label
Household,"Stag 4 Star Table Tennis Racquet (Multicolor) Product Description Stag 4 Star table tennis racquets is among the ideal racquets present in the market .It offers you a good experience and is suitable for beginner/ advancelevel players. This is an ideal racquet for players keen on learning the game and passionate about improving their skill set. At beginner level, the racquet will provide you good speed and control andmoderate spin, which helps in learning and grooming the skill set of firm griping and smash shots. With a great grip that has a high control feature, you can deliver neat shots with a lot of precision. 				    	 					 brand_description Established in 1922, Stag is an ISO-9001:2008 company with state of art manufacturing capability. It is a renowned multi-sport brand catering to around 202 countries all over the world. Product range of Stag covers table-tennis, basketball, yoga mats, badminton, football, netball, handball, gymnastics, sportswear, sport flooring, sports shoes and much more. Stag is a proud partner of the ITTF (International Table Tennis Federation) and supplier pool member of the ETTU (European Table Tennis Union). Around 36 National Table Tennis teams are being sponsored by Stag and it is also the official equipment sponsor for Youth Olympic Games 2018 and the title and equipment sponsor for the European under 21 Championships for the years 2017-2020. Stag was also one of the hardware partners for Fifa U19 World Cup and Indian Super League (ISL).",3
Books,"Rumi A New Translation About the Author A great spiritual master and poet, Jalaluddin Rumi was born in Wakhsh (Tajikistan) in 1207 to a family of learned theologians. He founded the Mawlawi Sufi order, a leading mystical brotherhood of Islam. He is also the author of the six-volume epic work, the Mathnawi, which has been referred to as the 'Koran in Persian'.",0
Books,Se-tenants 5th August 2016 Games of The XXXI Olympiad. Se-tenants 5th August 2016 Games of The XXXI Olympiad.,0
Clothing & Accessories,"Kids Unisex Body Warmer Thermal Winter Wear Buttoning Top (Top + Bottom) Multi-Color(Set of 3) A body-hugging thermal wear for icy days and chili nights Made from exceptional soft cotton, processed to draw moisture away Designed to be worn as undershirt and underpants extra space for diaper Front open top for extra comfort Specially Designer for Everyday use.",1
Books,"Economics for the IB Diploma with CD-ROM Book Description This lively textbook, available in both print and e-book formats, offers comprehensive coverage of the Economics syllabus for the International Baccalaureate (IB) Diploma at both Standard and Higher Levels. This new edition is written by a highly experienced author and former IB Economics Chief Examiner and has been extensively revised to meet the requirements of the new syllabus (effective 2011). The print book includes a CD-ROM of supplementary materials including a chapter on quantitative techniques and extensive exam practice. These supplementary materials are also included in the e-book version for an all-in-one solution.",0
Clothing & Accessories,"MagiDeal Lots Multisize Beads Beaded Eyeglass Lanyard Rope Chain Glasses Spectacle Glasses Holder Retainer for Women Men Sport Travel Description: - Beautiful and fashion eyeglasses/sunglasses rope by different color and size beads design - Perfects for decorating your reading glasses, eyeglasses and sunglasses etc to prevent them falling off - Made of glass,it is easy and comfortable to wear - Total length: about 75cm/29.53inch, Beads diameter from 2mm/0.08inch to 8mm/0.31inchPackage Includes:1 Piece Eyeglass Rope（ the eyeglass is not included）Note:Since the size above is measured by hand, the size of the actual item you received could be slightly different from the size above.but Meanwhile, please be reminded that due to lighting effects, monitor's brightness / contrast settings etc. there could be some slight differences in the color tone of the pictures and the actual item.",1
Clothing & Accessories,"Gkidz Boys Hooded Sleeveless Embroidered Sweatshirt(WWB-014-PNK_ Pink) In this winter, opt for this simple yet trendy Hooded Full sleeve sweatshirt from Gkidz. Made up of fleece this Base ball Embroidered Sweatshirt with Doctor sleeve is a blend of comfort and style.",1
Books,"The Theory of Everything: The Origin And Fate of the Universe Review ...can explain the complexities of cosmological physics with an engaging combination of clarity and with ... his is a brain of extraordinary power. --The New York Review of Books 				    	 					 From the Publisher THE THEORY OF EVERYTHING: The Origin and Fate of the Universe was first published under the title THE CAMBRIDGE LECTURES: Life Works Copyright 1996 by Dove Audio, Inc. 				    	 					              See all Product description",0
Books,"The Rise and Fall of the Third Reich Review ""The standard work by which all others on the subject are still measured . . . Erudite, comprehensive and detailed, always lively and readable, it is the model of what a popular narrative history should be."" (Guardian)""One of the most important works of history of our time."" (New York Times)""In this political season, William L. Shirer’s mammoth history of Hitler’s Germany seems a useful guide to how a skilled demagogue can seize and destroy a great nation."" (Chicago Tribune)""A splendid work of scholarship, objective in method, sound in judgment, inescapable in its conclusions."" (New York Times Book Review)""A work which everyone should read."" (Hugh Trevor-Roper) 				    	 					 About the Author William L. Shirer ranks as one of the greatest of all American foreign correspondents. He lived and worked in Paris, Belin, Vienna, and Rome. But it was above all as correspondent in Germany for the Chicago Tribune and later for the Columbia Broadcasting System in the late 1930s that his reputation was established. He subsequently wrote The Rise and Fall of the Third Reich, which is hailed as a classic, and after World War Two he was awarded the Legion d'Honneur. In the post-war years he wrote in a variety of fields, and in his seventies he learned Russian, publishing a biography of Tolstoy at the age of 89. He died in 1994. His Berlin broadcasts were published posthumously by Hutchinson in 1999.",0
Electronics,"Yumato ON7 Water Proof Action Sport Camcorder for Under Water Recording (Assorted Colour) Yumato Sports action cam captures amazing moments and great memories with this digital camera. You can take this Full HD camera to anywhere for outdoor sports activity. This fantastic waterproof digital camera camcorder comes with 2'' LCD display,support for wireless remote control. This sports camera cam is bundled with IP68 waterproof case,ideal for water sports like diving swimming, drifting,surfing etc.Just enjoy your moment with our video camera.",2
Electronics,"Acumen UC 901(Water Proof & Dust Proof) GPS Tracker for Car, Truck SUV & School Bus with Inbuilt Battery, Engine Cut Off Live time Free Software Support GPS Device This GPS Tracker is one of the best tracker which is water and dust proof, which means it’s a long live GPS Tracker. its high quality hardware parts gives it a durability of four to five years. You are going to get an incompatible deal in this price range. Just take a quick look on all these features of this tracker. 1-Real time Tracking – Every time you will get exact location of your vehicle with our live tracking system. With this feature you are enabled to track the routes followed by your driver. 2- Engine on off notification –You will be notified every time when the ignition is on off. With this feature your vehicle gets more secure from Theft. 3- Ignition cut off – With this feature you can stop the power and fuel supply to the engine. And you can switch off the vehicle engine from your mobile app. 4- Dust Proof & Water Proof – this device is fully water proof and dust proof. For more information you can call us -9311411116,8527676163",2
Clothing & Accessories,"T2F Boys' Track Pant (Pack of 5, Multicolour) The Fashion Factory comes with the whole new T2F kids track pants which is specially handcrafted for kids. T2F tracks are made up of 100% pure cotton fabric which gives your kid an immense and sophisticated feel while wearing. As the waist band being elasticated the hip size will be adjusted accordingly. Let the smart boy look more handsome with the T2F products. Happy Buying",1
Electronics,"HP Pavilion Gaming 300 Mouse (Black) With a 5,000 DPI optical sensor optimized for gaming and 4 sensitivity settings, this mouse gives you increased precision.",2
Household,"Techtest Digital Distance Laser Level Meter Pro 3 Leveller Black 2 Line Measuring Tape Measurement Tool Device Instrument Professional Horizontal Vertical Measure 8FT Aligner Ruler Area Style name:Laser Level Pro-3   Multi-purpose Laser Level Use this Multipurpose Laser Level for hanging pictures, installing shelving,laying flooring, hanging wallpaper and more. The tape measure is an 8-foot measure that includes imperial and metric linear measures, with graduations down to 1/32” and 1mm. Features: ✔ Laser light has an on/off power switch. ✔ Class IIIA laser Product, 3.5mW Max Power Output. ▲Note: Laser Ranging Error,that is given as ""+/-2mm at 10m and 25m"". ▲Note: If the laser is the Vertical Level or the Horizontal Level, you shouldn't adjust the Beam. Specifications: Product Size: 7.28 (L) x 2.5(W) x 1.1 (H) Inch Product Size: 18.5 (L) x 6.2(W) x 2.8 (H) cm Packaging Size: 8.27*3.15*1.57 Inch Packaging Size: 210*80*40mm Color : Black Net Weight: 6.49oz Net Weight: 184g Package weight: 9.2oz Package weight: 260g Original box: YES Note: ▲Laser radiation, avoid direct eye exposure! ▲A laser device is not a toy and must not be allowed to fall into the hands of children. ▲Misuse of the device can result in permanent eye damage. ▲Any correction measures that are aimed at increasing the laser power are forbidden. ▲The laser device does not contain any customer service components. ▲Please do not open the housing as doing this would not cover the warranty. Note: ▲Please press the key button when you pull out the measuring tape, it would make the measuring tape better and easier using. ▲Please loosen the key button to lock the reel when the measuring tape have been drawn out the length you wanted.",3
Electronics,"BlackBerry Key2 (Black, 6GB RAM, 64GB Storage) The most intelligent keyboard ever, and a battery that lasts up to 2 days, all on the new BlackBerry KEY2, powered by Android.",2
Household,Anchor Stitch Kit-Sunset A range of over 300 D-I-Y kits with easy to make embroidery designs on canvas. Anchor Stitch kits contain everything you need to help you make your own special embroidery creation. Happy crafting,3
Household,"Vadda Bai Straight and Curved Tips Tweezers for Mobile/Gadget/Laptop and Jewelry Repair - Set of 2 Pieces This set of 2 Multi-purpose Black Coated Non Magnetic tweezers, is self opening type (squeeze to close) tweezers.",3
Books,"The Touch of Healing: Energizing the Body, Mind, and Spirit With Jin Shin Jyutsu From the Inside Flap uch of Healing offers readers the means to greater health, vitality, and self-understanding through the practice of an ancient oriental healing art and practical holistic philosophy called Jin Shin Jystsu. Gentle touching similar to acupressure is used to release tension that accumulates and is at the root of dysfunction, disease, and imbalance. The authors explain the natural life force that runs through the body and demonstrate with case studies, detailed analysis, and more than 30 illustrations, how to integrate this system into one's life. The key healing points and body flows, known as ""Safety Energy Locks,"" are presented with step-by-step instructions on how to utilize them for healing and greater self-awareness. Many self-help practices are also offered that address a wide array of common ailments, including headaches, digestive disorders, fatigue, depression, and arthritis along with prescriptive exercises for relief of emotional ailments such as loss of confidence, anxiety, a 				    	 					 Excerpt. © Reprinted by permission. All rights reserved. the foundations of the art      chapter one          We live in an age of information. The media are able to broadcast global events within seconds of their occurrence. The Internet links us to specialized data. Increasingly, we hope that scientific and technological advances will grant us a better understanding of ourselves, along with the secrets of well-being.   Our growing reliance upon external information has gradually obscured a simple, innate awareness that all of us have long possessed. Inherent in this awareness are all the tools that we need to genuinely enrich our health and the quality of our lives.     A student seeking to familiarize herself with the Art of Jin Shin Jyutsu attended her first class.   During the lunch break, the student introduced herself to the teacher, Mary Burmeister. She confessed to feeling a bit overwhelmed. “I’m afraid that I don’t know anything about Jin Shin Jyutsu.”   Mary smiled and said, “You already know everything about it.”   The art of Jin Shin Jyutsu enables us to re-experience this awareness. Moreover, it teaches us how to utilize it for greater physical, mental, and spiritual well-being. No complicated technique or effort is required to apply it. Its seeds have lain dormant within us for virtually thousands of years. In order to revive them, we need only heed Plato’s teaching that “learning is remembering.”   the life in all things   In ancient times traditional people saw no distinction between body, mind, and spirit. Consequently, the practices they used to assist the body naturally promoted physical, emotional, and spiritual wholeness. Moreover, people saw their health or “harmony” as dependent upon bringing seemingly disparate elements into balance.   Jin Shin Jyutsu (pronounced jin shin jitsu) helps us remember that every one of us possesses the simplest instruments needed to bring about harmonious balance—the breath and hands. It reminds us that these instruments are all that we need to enhance our physical and mental vitality, which in turn help eliminate the causes underlying disease, or “disharmony.” Most importantly, it reawakens our awareness of the life energy that permeates the universe. This renewed awareness enables us to send life-giving energy through various locations on the body.   The concept of a life energy that pervades the universe and gives life to all things is unfamiliar to many of us. In much of the Western world, we’re likely to view life as nothing more than certain chemical processes that make possible the utilization of energy, metabolism, growth, and reproduction.   This concept, given to us by modern science, focuses on the biological aspects of life. From its point of view, life begins and ends with biology, or with the physical part of life. But practitioners of Jin Shin Jyutsu—and indeed, traditional people everywhere—ask themselves: What powers these chemical interactions? What gives life to our organs and systems? What is the force that brings the body to life?   In seeking the answers to these questions, traditional people learned to look beyond to the underlying energy that vitalizes the physical body. They see life as pervaded by a single living force, manifested in every individual organism—plants, insects, animals, and human beings. The ancient Greeks referred to this energy as pneuma; the Hindus call it prana; the Chinese know it as chi (also qi), and the Japanese, ki.   The recognition of a life energy that animates all living things is not merely a philosophical belief. It is also a practical approach to life and healing. Indeed, virtually all traditional healing systems—from Ayurvedic to Greek and Chinese—are founded on the principle that in order to heal the body, the person must strengthen and harmonize the flow of life energy within. This principle provides the basis for such arts as acupuncture and acupressure, as well as for the healing herbs and foods of Chinese medicine.   Mary Burmeister, who introduced Jin Shin Jyutsu to the Western world more than forty years ago, illustrates the importance of life energy by using a simple analogy: “What makes a car engine start when you turn on the key? The battery of the car. The battery is the necessary energy source for the various functions of the car. Now, what makes a heart beat? What makes breathing possible? What makes digestion possible? The Battery of Life. An energy source is necessary for the body to function. That source is the battery of life.”   Our health or harmony depends upon the free and even distribution of this life energy throughout our body, mind, and spirit. When the stress and strain of daily living disrupts the movement of life energy, our mind, body, and spirit are all affected. Not only do we succumb to worry, fear, anger, sadness, and pretensions, but we increase our tendency to become ill or “out of balance.”   Quite simply, Jin Shin Jyutsu is a way to balance the life energy. It shows us how to use simple hands-on sequences to restore emotional equilibrium, relieve pain, and release the causes of both acute and chronic conditions. It can be used safely in conjunction with any other therapy or medication. Furthermore, its benefits are cumulative, so that the more we practice it, the greater is our vitality and self-knowledge.   Jin Shin Jyutsu can be used anywhere and at any time. Its methods are so easy and unobtrusive that you may use them on yourself in a crowded bus or in the middle of a difficult meeting. The only thing people may notice—if they notice anything at all—is a more balanced demeanor, an aura of relaxation, and—upon closer examination—that you are holding one or more of your fingers.   the forgotten art, recently remembered   The name Jin Shin Jyutsu means “The Art of the Creator through the person of compassion.” The healing art that those words represent is based upon our own natural, innate ability to harmonize ourselves. For thousands of years, ancient peoples used this awareness to heal both themselves and others. But with successive generations this awareness grew dimmer until it was all but forgotten. In the early part of the twentieth century, a Japanese sage named Jiro Murai recovered Jin Shin Jyutsu—out of necessity.   Jiro Murai was born in Taiseimura (currently Kaga City), in Ishikawa Prefecture, in 1886. He was the second son born to his parents. Jiro’s father, like his father and so many of his ancestors, was a medical doctor. Since Japanese custom expected that the eldest son would follow in the profession of his father, Jiro was free to choose his own path. He started out as a breeder of silkworms, but he had a reckless nature and overindulged in food and drink—even to the point of entering eating contests, in which he was awarded cash prizes for consuming huge quantities. By the time he was 26, he was seriously ill. A succession of doctors treated him, but his condition only worsened until he was pronounced incurable and given up for terminally ill. As a last request, he asked his family to carry him on a stretcher to their mountain cabin and to leave him there alone for seven days. He asked that they return for him on the eighth day.   There in the cabin Murai fasted, meditated, and practiced various finger postures. During this time he passed in and out of consciousness. His physical body grew colder. But on the seventh day he felt as if he had been lifted out of a deep freeze and thrown into a blazing furnace. When the intense heat subsided, he experienced a tremendous calm and inner peace. To his great surprise, he was healed. He dropped to his knees, gave thanks, and pledged his life to the study of healing.   Murai’s commitment to understanding the causes of disharmony was profound. Gil Burmeister remembers him as a man obsessed with the pursuit of knowledge: “Jiro did his research among the homeless in Wano Park, in Tokyo. A large population lived in the park. Jiro would take care of the people there and study the incredible variety of illnesses that these people presented. I remember that he went through a period of studying ear problems for a while. He wanted to work on anybody who had any kind of ear complaint. Once he understood ear problems, he’d go on to something else.” Murai’s prodigious research led him to an awareness of a healing art that he called Jin Shin Jyutsu.   As Murai’s understanding of the Art deepened, the meaning of the name Jin Shin Jyutsu evolved. At first, he used the words to mean “the Art of Happiness,” later “the Art of Longevity.” The meaning further evolved to “the Art of Benevolence” and ultimately to “the Art of the Creator through the person of compassion.”",0
Household,"BESTONZON Stainless Steel Fork Meat Fork Serving Fork Carving Fork for Home Kitchen DescriptionThis meat fork is made of a strong and durable substantial stainless steel which is very safe to use and  easily hand-wash. With curved prongs and tips notched like fishing hooks, it gets a solid grip on roasts, poultry, and big vegetables like baked potatoes. It easily lifts a corned beef, for instance, from pot to carving surface and holds it down firmly for careful slicing. Features- Color: As shown.- Size: 34 x 3.5cm.- Material: Stainless steel.- Made of premium stainless steel material, durable and safe to use.- Ideal for piercing potatoes, meats and more.- Sleek, brushed stainless steel handle features special cover for comfort.- Perfect for any restaurant, kitchen, catering, buffet and home.Package Including1 x Stainless Steel Fork Meat Fork Serving Fork Carving Fork for Home Kitchen",3
Books,"Atheism: A Very Short Introduction (Very Short Introductions) Review lively and readable...ideal for a popular audience...his very short introduction, which packs into a hundred pages a wealth of insight and argument, is itself a wonderful commitment to the rational thought which he defends (Richard Norman, New Humanist) 				    	 					 About the Author Julian Baggini is editor and co-founder of The Philosophers' Magazine. He is the author of several books on philosophy including Making Sense: Philosophy Behind the Headlines and New British Philosophy: The Interviews (with Jeremy Stangroom). He has also written for newspapers, magazines and academic journals.",0
Books,"Cost Accounting Theory and Practice About the Author Bhabatosh Banerjee, Ph.D., is former Professor, Department of Commerce and Dean, Faculty of Commerce, Social Welfare and Business Management, University of Calcutta. Currently he is Visiting Professor at Indian Institute of Management Calcutta. He has more than four decades of teaching experience at the postgraduate level. He worked as a Visiting Professor of Accounting in two reputed universities (both private and State) in the USA during 1995-1997. He is the Editor of Indian Accounting Review and President of Indian Accounting Association (IAA) Research Foundation. Dr. Banerjee has authored several books including Financial Policy and Management Accounting, 8th edition and Fundamentals of Financial Management, both published by PHI Learning.",0
Electronics,"LG 21.5 inch (54.6 cm) LED Monitor - Full HD, IPS Panel with VGA, HDMI, DVI, Audio Out Ports - 22MP58VQ (Black)",2
